Key,SourceString
"Wanderer_Name","彷徨う者"
"Wanderer_Description","目的なくさまよう旅人。冒険の始まり。"
"Seeker_Name","探求者"
"Seeker_Description","何かを求めて進み始めた者。"
"Scout_Name","斥候"
"Scout_Description","危険地帯に先に入り、情報を得る者。"
"Hunter_Name","狩人"
"Hunter_Description","自らの意思で敵を倒し始めた者。"
"Slayer_Name","討伐者"
"Slayer_Description","強敵を討つ力を得た熟練戦士。"
"Veteran_Name","歴戦の勇士"
"Veteran_Description","幾多の戦いをくぐり抜けた者。"
"Warden_Name","守護者"
"Warden_Description","地域や仲間を守る存在。強者の証。"
"Champion_Name","英雄"
"Champion_Description","多くに称えられる偉大な冒険者。"
"Mythwalker_Name","神話を歩む者"
"Mythwalker_Description","伝説級の存在として語られる者。"
"Ascendant_Name","超越者"
"Ascendant_Description","常人を超えた、神格に近い存在。"
